K,epidemic peak,cost fun,delta fun
40,18183.0,18193.12504429707,100
41,18906.0,18916.378170404496,97
42,18350.0,18360.63129651192,95
43,18117.0,18127.88442261935,93
44,17392.0,17403.137548726776,90
45,17423.0,17434.3906748342,88
46,17266.0,17277.64380094163,86
47,17581.0,17592.896927049056,85
48,17370.0,17382.15005315648,83
49,17195.0,17207.40317926391,81
50,17347.0,17359.656305371336,80
51,16438.0,16450.90943147876,78
52,17011.0,17024.16255758619,76
53,15796.0,15809.415683693616,75
54,15169.0,15182.668809801044,74
55,15905.0,15918.92193590847,72
56,15619.0,15633.175062015896,71
57,15849.0,15863.428188123324,70
58,15116.0,15130.68131423075,68
59,14620.0,14634.934440338177,67
60,15261.0,15276.187566445604,66
61,14986.0,15001.44069255303,65
62,16554.0,16569.693818660457,64
63,14990.0,15005.946944767884,63
64,16596.0,16612.20007087531,62
65,14453.0,14469.453196982737,61
66,15275.0,15291.706323090164,60
67,13626.0,13642.95944919759,59
68,14187.0,14204.212575305017,58
69,14259.0,14276.465701412444,57
70,14631.0,14648.71882751987,57
71,13439.0,13456.971953627297,56
72,14635.0,14653.225079734724,55
73,14468.0,14486.47820584215,54
74,14304.0,14322.731331949577,54
75,14283.0,14301.984458057004,53
76,12238.0,12257.237584164432,52
77,13126.0,13145.490710271857,51
78,13019.0,13038.743836379284,51
79,12964.0,12983.996962486712,50
80,13976.0,13996.250088594137,50
81,10398.0,10418.503214701565,49
82,11755.0,11775.756340808992,48
83,12941.0,12962.009466916417,48
84,12791.0,12812.262593023845,47
85,11200.0,11221.515719131272,47
86,14285.0,14306.768845238697,46
87,12484.0,12506.021971346125,45
88,12557.0,12579.275097453552,45
89,10613.0,10635.528223560977,44
90,12476.0,12498.781349668405,44
91,13461.0,13484.034475775832,43
92,12182.0,12205.287601883258,43
93,11719.0,11742.540727990685,43
94,10854.0,10877.793854098112,42
95,12189.0,12213.046980205538,42
96,14162.0,14186.300106312965,41
97,12278.0,12302.553232420392,41
98,11646.0,11670.806358527818,40
99,9915.0,9940.059484635245,40
100,10826.0,10851.312610742672,40
101,11340.0,11365.565736850098,39
102,10222.0,10247.818862957525,39
103,12314.0,12340.071989064953,38
104,9320.0,9346.325115172378,38
105,11089.0,11115.578241279805,38
106,13123.0,13149.831367387233,37
107,10031.0,10058.08449349466,37
108,9240.0,9267.337619602085,37
109,10025.0,10052.590745709513,36
110,10893.0,10920.84387181694,36
111,12935.0,12963.096997924365,36
112,11407.0,11435.350124031793,35
113,10786.0,10814.60325013922,35
114,13554.0,13582.856376246646,35
115,11884.0,11913.109502354073,34
116,13255.0,13284.3626284615,34
117,12071.0,12100.615754568926,34
118,10180.0,10209.868880676353,33
119,11200.0,11230.12200678378,33
120,13732.0,13762.375132891206,33
121,11549.0,11579.628258998633,33
122,9666.0,9696.88138510606,32
123,9764.0,9795.134511213486,32
124,10915.0,10946.387637320913,32
125,11362.0,11393.64076342834,32
126,11331.0,11362.893889535766,31
127,10696.0,10728.147015643193,31
128,12003.0,12035.40014175062,31
129,11497.0,11529.653267858046,31
130,10217.0,10249.906393965473,30
131,12259.0,12292.1595200729,30
132,13138.0,13171.412646180326,30
133,12581.0,12614.665772287753,30
134,9786.0,9819.91889839518,29
135,10173.0,10207.172024502608,29
136,12328.0,12362.425150610034,29
137,8494.0,8528.67827671746,29
138,9366.0,9400.931402824888,28
139,10867.0,10902.184528932314,28
140,11789.0,11824.437655039741,28
141,9010.0,9045.690781147168,28
142,10042.0,10077.943907254594,28
143,11171.0,11207.197033362021,27
144,8328.0,8364.450159469448,27
145,9036.0,9072.703285576874,27
146,12507.0,12543.956411684301,27
147,8689.0,8726.209537791729,27
148,9863.0,9900.462663899154,27
149,8052.0,8089.715790006581,26
150,12677.0,12714.968916114009,26
151,8904.0,8942.222042221434,26
152,12744.0,12782.475168328861,26
153,11325.0,11363.728294436289,26
154,9743.0,9781.981420543714,25
155,12841.0,12880.234546651141,25
156,12568.0,12607.487672758569,25
157,11705.0,11744.740798865994,25
158,9949.0,9988.993924973422,25
159,8907.0,8947.247051080849,25
