K,epidemic peak,cost fun,delta fun
40,12339.0,12521.250797347238,50
41,14287.0,14473.807067280919,48
42,12440.0,12631.3633372146,47
43,10831.0,11026.919607148282,46
44,10875.0,11075.475877081963,45
45,10852.0,11057.032147015643,44
46,13427.0,13636.588416949324,43
47,13010.0,13224.144686883004,42
48,10761.0,10979.700956816687,41
49,11077.0,11300.257226750367,40
50,13991.0,14218.813496684048,40
51,14149.0,14381.369766617729,39
52,13659.0,13895.92603655141,38
53,10258.0,10499.482306485092,37
54,10243.0,10489.038576418772,37
55,13321.0,13571.594846352453,36
56,13875.0,14130.151116286133,35
57,11200.0,11459.707386219814,35
58,10517.0,10781.263656153496,34
59,8627.0,8895.819926087177,33
60,10091.0,10364.376196020858,33
61,9210.0,9487.932465954538,32
62,10902.0,11184.488735888219,32
63,9582.0,9869.045005821901,31
64,12666.0,12957.601275755582,31
65,9296.0,9592.157545689262,30
66,10386.0,10686.713815622943,30
67,9249.0,9554.270085556624,29
68,9786.0,10095.826355490306,29
69,7329.0,7643.382625423987,28
70,9987.0,10305.938895357667,28
71,8509.0,8832.495165291348,28
72,12494.0,12822.051435225028,27
73,12261.0,12593.60770515871,27
74,8649.0,8986.163975092391,27
75,9625.0,9966.720245026072,26
76,9810.0,10156.276514959753,26
77,8952.0,9302.832784893433,25
78,9689.0,10044.389054827116,25
79,9857.0,10216.945324760796,25
80,8031.0,8395.501594694477,25
81,7430.0,7799.057864628157,24
82,7056.0,7429.614134561839,24
83,11625.0,12003.17040449552,24
84,12516.0,12898.726674429201,23
85,9361.0,9748.282944362882,23
86,12122.0,12513.839214296562,23
87,6231.0,6627.395484230244,22
88,7296.0,7696.951754163924,22
89,8902.0,9307.508024097606,22
90,8688.0,9098.064294031286,22
91,11936.0,12350.620563964967,21
92,11787.0,12206.176833898648,21
93,8376.0,8799.73310383233,21
94,9440.0,9868.28937376601,21
95,10996.0,11428.845643699691,21
96,10668.0,11105.401913633372,20
97,8630.0,9071.958183567052,20
98,6835.0,7281.514453500734,20
99,11505.0,11956.070723434415,20
100,7928.0,8383.626993368096,20
101,11948.0,12408.183263301777,19
102,11469.0,11933.739533235457,19
103,12270.0,12739.29580316914,19
104,9177.0,9650.85207310282,19
105,7652.0,8130.408343036501,19
106,8108.0,8590.964612970181,18
107,11903.0,12390.520882903862,18
108,7371.0,7863.0771528375435,18
109,7946.0,8442.633422771225,18
110,7736.0,8237.189692704906,18
111,9735.0,10240.745962638586,18
112,9567.0,10077.302232572267,17
113,8069.0,8583.85850250595,17
114,10436.0,10955.41477243963,17
115,7690.0,8213.97104237331,17
116,7680.0,8208.527312306991,17
117,7162.0,7695.0835822406725,17
118,9637.0,10174.639852174354,16
119,8165.0,8707.196122108035,16
120,7793.0,8339.752392041715,16
121,9168.0,9719.308661975396,16
122,9244.0,9799.864931909076,16
123,9850.0,10410.421201842759,16
124,10781.0,11345.97747177644,16
125,6986.0,7555.53374171012,16
126,6334.0,6908.090011643801,15
127,11272.0,11850.646281577481,15
128,7311.0,7894.202551511163,15
129,12525.0,13112.758821444844,15
130,9991.0,10583.315091378525,15
131,7451.0,8047.871361312205,15
132,7854.0,8455.427631245886,15
133,6951.0,7556.9839011795675,15
134,9259.0,9869.540171113249,14
135,6298.0,6913.09644104693,14
136,11437.0,12056.65271098061,14
137,7400.0,8024.208980914292,14
138,8286.0,8914.765250847973,14
139,6853.0,7486.321520781654,14
140,11888.0,12525.877790715334,14
141,6883.0,7525.434060649015,14
142,6840.0,7486.9903305826965,14
143,6548.0,7199.546600516377,13
144,6081.0,6737.102870450059,13
145,7486.0,8146.659140383739,13
146,7501.0,8166.21541031742,13
147,11196.0,11865.7716802511,13
148,6714.0,7388.327950184782,13
149,6784.0,7462.884220118463,13
150,11540.0,12223.440490052144,13
151,7413.0,8100.996759985825,13
152,6941.0,7633.553029919506,13
153,11341.0,12038.109299853188,13
154,10898.0,11599.665569786868,12
155,9070.0,9776.221839720549,12
156,11552.0,12262.77810965423,12
157,5793.0,6508.334379587911,12
158,7381.0,8100.8906495215915,12
159,7686.0,8410.446919455273,12
