K,epidemic peak,cost fun,delta fun
0.0,951.0,951.0,500
0.5,951.0,953.6288117770767,400
1.0,951.0,956.2576235541535,200
1.5,951.0,958.8864353312302,133
2.0,951.0,961.515247108307,100
2.5,951.0,964.1440588853839,80
3.0,951.0,966.7728706624606,66
3.5,951.0,969.4016824395374,57
4.0,951.0,972.0304942166141,50
4.5,951.0,974.6593059936909,44
5.0,951.0,977.2881177707676,40
5.5,951.0,979.9169295478443,36
6.0,951.0,982.5457413249211,33
6.5,951.0,985.1745531019978,30
7.0,951.0,987.8033648790747,28
7.5,951.0,990.4321766561515,26
8.0,951.0,993.0609884332282,25
8.5,951.0,995.689800210305,23
9.0,951.0,998.3186119873817,22
9.5,951.0,1000.9474237644584,21
10.0,951.0,1003.5762355415352,20
10.5,951.0,1006.205047318612,19
11.0,951.0,1008.8338590956887,18
11.5,949.0,1009.4626708727656,17
12.0,947.2,1010.2914826498424,16
12.5,947.0,1012.720294426919,16
13.0,943.4,1011.7491062039958,15
13.5,937.2,1008.1779179810726,14
14.0,938.6,1012.2067297581493,14
14.5,930.8,1007.035541535226,13
15.0,932.2,1011.0643533123028,13
15.5,925.4,1006.8931650893796,12
16.0,924.6,1008.7219768664564,12
16.5,926.2,1012.9507886435332,12
17.0,908.8,998.1796004206099,11
17.5,906.8,998.8084121976866,11
18.0,913.4,1008.0372239747634,11
18.5,893.8,991.0660357518401,10
19.0,896.6,996.4948475289169,10
19.5,902.4,1004.9236593059936,10
20.0,898.0,1003.1524710830704,10
20.5,875.0,982.7812828601473,9
21.0,879.6,990.010094637224,9
21.5,886.8,999.8389064143007,9
22.0,876.6,992.2677181913775,9
22.5,857.0,975.2965299684543,8
23.0,858.8,979.725341745531,8
23.5,869.6,993.1541535226078,8
24.0,866.8,992.9829652996845,8
24.5,857.8,986.6117770767612,8
25.0,859.6,991.0405888538381,8
25.5,844.8,978.8694006309148,7
26.0,835.8,972.4982124079916,7
26.5,838.6,977.9270241850684,7
27.0,846.6,988.5558359621451,7
27.5,844.8,989.3846477392218,7
28.0,854.0,1001.2134595162986,7
28.5,831.4,981.2422712933753,7
29.0,824.2,976.6710830704521,6
29.5,810.4,965.4998948475289,6
30.0,807.0,964.7287066246057,6
30.5,796.0,956.3575184016825,6
31.0,813.6,976.5863301787592,6
31.5,830.4,996.0151419558359,6
32.0,810.4,978.6439537329127,6
32.5,829.4,1000.2727655099894,6
33.0,828.4,1001.9015772870662,6
33.5,786.8,962.9303890641429,5
34.0,822.8,1001.5592008412198,5
34.5,793.0,974.3880126182966,5
35.0,790.2,974.2168243953734,5
35.5,783.4,970.04563617245,5
36.0,801.8,991.0744479495268,5
36.5,773.0,964.9032597266036,5
37.0,772.4,966.9320715036803,5
37.5,784.4,981.560883280757,5
38.0,783.0,982.7896950578338,5
38.5,788.2,990.6185068349107,5
39.0,786.0,991.0473186119874,5
39.5,803.0,1010.6761303890642,5
40.0,783.4,993.7049421661409,5
40.5,774.0,986.9337539432177,4
41.0,777.8,993.3625657202944,4
41.5,762.4,980.5913774973711,4
42.0,768.6,989.4201892744479,4
42.5,738.0,961.4490010515246,4
43.0,760.2,986.2778128286016,4
43.5,776.4,1005.1066246056782,4
44.0,769.4,1000.735436382755,4
44.5,792.2,1026.164248159832,4
45.0,763.0,999.5930599369085,4
45.5,753.8,993.0218717139852,4
46.0,767.2,1009.050683491062,4
46.5,771.2,1015.6794952681389,4
47.0,767.8,1014.9083070452155,4
47.5,771.4,1021.1371188222923,4
48.0,774.0,1026.365930599369,4
48.5,756.2,1011.1947423764459,4
49.0,764.4,1022.0235541535226,4
49.5,791.4,1051.6523659305994,4
50.0,785.2,1048.0811777076763,4
50.5,749.2,1014.7099894847529,3
51.0,749.2,1017.3388012618298,3
51.5,744.0,1014.7676130389063,3
52.0,735.2,1008.5964248159833,3
52.5,710.8,986.8252365930599,3
53.0,739.2,1017.8540483701368,3
53.5,716.2,997.4828601472135,3
54.0,737.0,1020.9116719242902,3
54.5,748.2,1034.740483701367,3
55.0,756.4,1045.5692954784438,3
55.5,751.8,1043.5981072555205,3
56.0,750.8,1045.2269190325972,3
56.5,744.0,1041.055730809674,3
57.0,757.0,1056.684542586751,3
57.5,748.6,1050.9133543638277,3
58.0,746.6,1051.5421661409043,3
58.5,760.8,1068.370977917981,3
59.0,752.6,1062.7997896950578,3
59.5,764.0,1076.8286014721346,3
60.0,743.0,1058.4574132492114,3
60.5,738.4,1056.4862250262881,3
61.0,723.8,1044.5150368033649,3
61.5,714.6,1037.9438485804417,3
62.0,771.4,1097.3726603575183,3
62.5,733.0,1061.601472134595,3
63.0,761.8,1093.0302839116719,3
63.5,724.6,1058.4590956887487,3
64.0,740.8,1077.2879074658254,3
64.5,734.2,1073.3167192429023,3
65.0,725.8,1067.5455310199789,3
65.5,757.0,1101.3743427970558,3
66.0,760.6,1107.6031545741325,3
66.5,746.6,1096.2319663512094,3
67.0,694.2,1046.4607781282862,2
67.5,665.8,1020.6895899053627,2
68.0,670.0,1027.5184016824396,2
68.5,700.6,1060.7472134595164,2
69.0,724.6,1087.376025236593,2
69.5,705.4,1070.8048370136698,2
70.0,708.6,1076.6336487907465,2
70.5,694.6,1065.2624605678234,2
71.0,720.8,1094.0912723449,2
71.5,693.6,1069.5200841219769,2
72.0,742.8,1121.3488958990536,2
72.5,714.0,1095.1777076761305,2
73.0,731.8,1115.606519453207,2
73.5,760.4,1146.8353312302838,2
74.0,700.6,1089.6641430073607,2
74.5,735.4,1127.0929547844376,2
75.0,720.2,1114.5217665615141,2
75.5,679.6,1076.550578338591,2
76.0,699.0,1098.5793901156676,2
76.5,710.4,1112.6082018927445,2
77.0,723.0,1127.8370136698213,2
