nombre de noeuds,degre moyen,distance moyenne,dynamique de propagation,proportion propagation,nombre de honeypots,nombre de smart honeypots,probabilite I -> S,probabilite S -> R,degre du noeud source,epidemic peak,time to extinction
86,24.017441860465116,4.213679890560876,1,0,12,8,0.28505663726399433,0.192487818611299,5,8,22
53,15.735849056603774,3.248911465892598,1,0,38,35,0.19060282846561477,0.10396435171117935,5,7,51
83,23.283132530120483,4.057008521892448,1,0,18,10,0.2647557394663136,0.17710597990096077,8,9,28
41,12.682926829268293,2.9865853658536587,1,0,31,6,0.08973982562415322,0.005426551853413586,5,39,841
76,21.5,3.9466666666666668,1,0,22,13,0.1893312937283961,0.05872189362791143,4,20,77
94,26.05851063829787,4.125829329672844,1,0,3,2,0.1836224384614817,0.1275676629382904,6,18,46
49,14.714285714285714,3.1904761904761907,1,0,30,5,0.15777830805141282,0.11215151549484209,5,1,30
64,18.53125,3.6299603174603177,1,0,35,30,0.08986955959982626,0.0921954466940692,6,10,38
25,8.52,2.4233333333333333,1,0,5,0,0.28644084791532093,0.1567939118677899,4,5,31
90,25.005555555555556,4.519101123595505,1,0,43,35,0.20031320850215711,0.07072758898810157,6,5,48
30,9.816666666666666,2.5632183908045976,1,0,20,18,0.09172343707857733,0.13679969227540037,4,3,20
46,13.902173913043478,3.195169082125604,1,0,6,6,0.029114051630008506,0.0435752717792312,5,34,457
90,25.02777777777778,4.190012484394507,1,0,26,21,0.06418248006473522,0.16325584783129113,6,4,48
68,19.514705882352942,3.635206321334504,1,0,38,24,0.085322995121425,0.19550442446107225,7,2,14
77,21.77922077922078,4.065276828434723,1,0,9,8,0.18026241289540618,0.024113241321461,8,52,202
77,21.792207792207794,3.8954203691045794,1,0,17,3,0.24759082041499825,0.18776657456970183,4,4,32
57,16.75438596491228,3.387218045112782,1,0,45,37,0.1436463912706077,0.03957701266056926,6,1,97
68,19.514705882352942,3.5943810359964883,1,0,25,18,0.06097928161764338,0.08355034540381064,12,1,53
64,18.5,3.6969246031746033,1,0,45,38,0.09385032768966009,0.053121807755086174,7,2,102
58,17.00862068965517,3.4186327888687233,1,0,43,41,0.059892367495284295,0.14617657941302284,7,1,34
64,18.515625,3.701388888888889,1,0,27,15,0.14749390072307855,0.17169474465913925,5,1,18
89,24.820224719101123,4.074055158324821,1,0,48,37,0.05459645148584855,0.19239262578716476,8,1,22
61,17.737704918032787,3.5546448087431695,1,0,33,6,0.11436233964294143,0.01917209644274012,6,4,285
65,18.73846153846154,3.6923076923076925,1,0,3,0,0.024389985124738375,0.04495115635571643,7,43,684
73,20.78082191780822,3.8462709284627095,1,0,50,22,0.2820601058912564,0.130330808903317,6,4,25
96,26.552083333333332,4.435087719298245,1,0,0,0,0.18262265928785773,0.008405446257378602,6,74,1703
71,20.274647887323944,3.7674044265593563,1,0,48,42,0.022483424883034012,0.04443358670165736,9,7,97
93,25.827956989247312,4.151940158952781,1,0,50,26,0.1337602389875941,0.17673757790428496,5,3,18
20,7.2,2.126315789473684,1,0,8,7,0.13753228391064773,0.10629879545199734,6,1,27
96,26.572916666666668,4.160087719298246,1,0,19,18,0.27830202667108866,0.07942472294542327,6,13,58
81,22.77777777777778,4.03858024691358,1,0,53,25,0.22855023580134876,0.03054117974646351,5,1,160
93,25.827956989247312,4.077606358111267,1,0,21,11,0.02838917612257455,0.1617658301866616,4,10,22
46,13.858695652173912,3.263768115942029,1,0,30,3,0.2543306018178698,0.028950096157156293,4,9,149
33,10.636363636363637,2.554924242424242,1,0,17,0,0.06493377025096797,0.1406885782988687,6,1,33
36,11.36111111111111,2.8746031746031746,1,0,6,1,0.12039522388140621,0.09064736227258814,4,18,54
26,8.75,2.516923076923077,1,0,10,6,0.12414177749571008,0.10341096384396681,6,7,44
53,15.735849056603774,3.2808417997097243,1,0,42,32,0.042215269552959206,0.12641972417995398,7,2,34
29,9.620689655172415,2.5073891625615765,1,0,7,2,0.17987167977795687,0.03555121530381413,3,26,191
55,16.245454545454546,3.3434343434343434,1,0,24,19,0.1338997141315869,0.04222820247378776,5,18,155
75,21.3,3.9163963963963964,1,0,13,6,0.14592380553053613,0.13377873899388953,8,17,34
64,18.53125,3.5362103174603177,1,0,36,15,0.1104323630074915,0.11683343988678684,5,6,47
37,11.675675675675675,2.765765765765766,1,0,4,3,0.0741765210170925,0.1694374529837542,5,10,43
50,14.97,3.176326530612245,1,0,12,6,0.2903466924488257,0.026761700246535947,3,28,299
69,19.768115942028984,3.703324808184143,1,0,7,7,0.09714328770171822,0.027042837756628458,4,47,390
26,8.865384615384615,2.3476923076923075,1,0,20,8,0.27041137366099494,0.09559435888227936,3,5,39
75,21.26,3.858738738738739,1,0,19,6,0.18849192189020006,0.08589637577816356,5,20,43
81,22.790123456790123,3.985493827160494,1,0,40,28,0.04408637933013714,0.13559378275054934,7,5,41
87,24.304597701149426,4.152900294039027,1,0,53,42,0.19259577842999606,0.1735214891934065,4,1,31
30,9.783333333333333,2.6252873563218393,1,0,0,0,0.11704789234276976,0.18904602474049792,6,6,107
30,9.883333333333333,2.52183908045977,1,0,22,22,0.12733688586892344,0.008726491904298328,5,18,381
97,26.79381443298969,4.505798969072165,1,0,45,7,0.07428658234344038,0.07465131130275549,6,7,81
28,9.142857142857142,2.632275132275132,1,0,19,0,0.1924389517946847,0.08008664626743717,4,1,62
50,14.93,3.2620408163265306,1,0,6,1,0.1316847838542685,0.03767341080969566,5,35,192
56,16.446428571428573,3.5,1,0,33,3,0.25310672758818364,0.08367640939696126,5,5,40
71,20.302816901408452,3.6096579476861166,1,0,50,12,0.1881011723335879,0.1253588334383249,4,6,38
98,27.0765306122449,4.252051335998317,1,0,58,3,0.07130889731552152,0.11167358916205627,4,5,38
