nombre de noeuds,degre moyen,distance moyenne,dynamique de propagation,proportion propagation,nombre de honeypots,nombre de smart honeypots,probabilite I -> S,probabilite S -> R,degre du noeud source,epidemic peak,time to extinction
97,26.77319587628866,4.547680412371134,1,0,19,8,0.18482260509715173,0.01879559832684821,4,55,348
41,12.658536585365853,3.0353658536585364,1,0,6,2,0.12642124988238418,0.043010538396308085,5,28,159
91,25.291208791208792,4.349206349206349,1,0,12,4,0.054418755954936594,0.1933712533818325,9,8,22
35,11.1,2.826890756302521,1,0,10,3,0.20128151321786378,0.004616567271743999,5,1,991
38,11.907894736842104,2.8392603129445235,1,0,5,0,0.07514137359912489,0.14005205142511884,5,15,50
37,11.64864864864865,2.873873873873874,1,0,1,0,0.29495909640434603,0.09121095782921285,6,15,71
114,31.100877192982455,4.594783418723801,1,0,9,4,0.0993182458328591,0.033157093907162614,6,80,447
78,22.044871794871796,3.982017982017982,1,0,21,17,0.08302168692139408,0.1503882859413848,6,1,23
34,10.838235294117647,2.8253119429590017,1,0,9,5,0.21005374571786148,0.06226525409383794,5,1,35
35,11.1,2.773109243697479,1,0,10,8,0.17195801220815313,0.12248452550057486,5,3,19
83,23.30722891566265,4.013811342932707,1,0,11,9,0.06618579952676451,0.018708657459657885,4,67,425
50,14.95,3.3044897959183674,1,0,8,3,0.07556778064223031,0.12212530838360419,6,6,40
65,18.76923076923077,3.5697115384615383,1,0,14,7,0.22660597662714727,0.1523338978598924,7,9,25
64,18.484375,3.7797619047619047,1,0,12,2,0.19489682915422424,0.18678886200805153,4,6,25
67,19.20149253731343,3.9009497964721844,1,0,16,3,0.056210584775880645,0.12372810337306084,6,14,30
51,15.186274509803921,3.364705882352941,1,0,0,0,0.07714240665488867,0.059497710524715336,3,27,508
32,10.34375,2.6653225806451615,1,0,6,3,0.22952287576557723,0.1203604225112812,5,5,21
57,16.68421052631579,3.538220551378446,1,0,11,9,0.20620774228370617,0.16889502728202008,5,3,25
81,22.77777777777778,3.9753086419753085,1,0,18,11,0.20407349253214316,0.02973051942944145,7,1,215
118,32.063559322033896,4.798638273214545,1,0,27,3,0.25250213576481356,0.16753749344976854,6,1,36
82,23.03048780487805,4.075880758807588,1,0,5,2,0.16849343720082927,0.1040039137378484,5,23,77
42,12.964285714285714,2.9430894308943087,1,0,10,8,0.16512642909442896,0.07432996855958011,4,1,46
101,27.821782178217823,4.431683168316832,1,0,3,2,0.263299744492942,0.12879123566825565,4,19,50
53,15.660377358490566,3.3955007256894048,1,0,14,9,0.2582943433430459,0.1009056188556675,4,1,48
53,15.716981132075471,3.367198838896952,1,0,14,11,0.02351715332992871,0.12190970182547956,6,18,67
