proba is,proba sr,nombre hpb,nombre shp,pic,cumul inf
0.1,0.01,1,0,198,160446
0.1,0.01,1,1,197,176366
0.1,0.01,1,2,198,176185
0.1,0.01,1,3,196,139253
0.1,0.01,1,4,195,155324
0.1,0.01,2,0,196,173149
0.1,0.01,2,1,195,173112
0.1,0.01,2,2,196,146492
0.1,0.01,2,3,195,139250
0.1,0.01,2,4,198,143685
0.1,0.01,3,0,199,149298
0.1,0.01,3,1,197,149776
0.1,0.01,3,2,198,136284
0.1,0.01,3,3,198,159812
0.1,0.01,3,4,200,130644
0.1,0.01,4,0,200,145380
0.1,0.01,4,1,199,142683
0.1,0.01,4,2,198,140294
0.1,0.01,4,3,196,137714
0.1,0.01,4,4,197,151405
0.1,0.01,5,0,194,160693
0.1,0.01,5,1,196,148323
0.1,0.01,5,2,197,137369
0.1,0.01,5,3,196,165324
0.1,0.01,5,4,197,149643
0.1,0.015,1,0,199,124195
0.1,0.015,1,1,197,106796
0.1,0.015,1,2,193,114321
0.1,0.015,1,3,194,104139
0.1,0.015,1,4,196,122688
0.1,0.015,2,0,196,91582
0.1,0.015,2,1,194,116534
0.1,0.015,2,2,188,88298
0.1,0.015,2,3,196,91645
0.1,0.015,2,4,198,103612
0.1,0.015,3,0,197,98769
0.1,0.015,3,1,198,111884
0.1,0.015,3,2,194,98480
0.1,0.015,3,3,196,82067
0.1,0.015,3,4,198,95544
0.1,0.015,4,0,195,103721
0.1,0.015,4,1,196,104344
0.1,0.015,4,2,193,100133
0.1,0.015,4,3,197,99820
0.1,0.015,4,4,198,92399
0.1,0.015,5,0,196,111904
0.1,0.015,5,1,199,103032
0.1,0.015,5,2,196,90513
0.1,0.015,5,3,190,90925
0.1,0.015,5,4,197,82068
0.1,0.02,1,0,191,89514
0.1,0.02,1,1,195,80335
0.1,0.02,1,2,195,84120
0.1,0.02,1,3,190,73383
0.1,0.02,1,4,196,75744
0.1,0.02,2,0,194,69098
0.1,0.02,2,1,197,84234
0.1,0.02,2,2,191,77822
0.1,0.02,2,3,190,68472
0.1,0.02,2,4,194,72630
0.1,0.02,3,0,195,67572
0.1,0.02,3,1,191,71962
0.1,0.02,3,2,197,81467
0.1,0.02,3,3,196,77784
0.1,0.02,3,4,194,70792
0.1,0.02,4,0,192,76321
0.1,0.02,4,1,190,60689
0.1,0.02,4,2,195,77843
0.1,0.02,4,3,195,72765
0.1,0.02,4,4,186,60410
0.1,0.02,5,0,195,78868
0.1,0.02,5,1,196,72863
0.1,0.02,5,2,195,70201
0.1,0.02,5,3,191,67290
0.1,0.02,5,4,187,69780
0.1,0.025,1,0,188,59367
0.1,0.025,1,1,193,63161
0.1,0.025,1,2,191,59258
0.1,0.025,1,3,196,57413
0.1,0.025,1,4,193,66733
0.1,0.025,2,0,190,60387
0.1,0.025,2,1,192,63059
0.1,0.025,2,2,180,51971
0.1,0.025,2,3,185,56398
0.1,0.025,2,4,191,54455
0.1,0.025,3,0,190,64770
0.1,0.025,3,1,193,68766
0.1,0.025,3,2,187,60849
0.1,0.025,3,3,192,57576
0.1,0.025,3,4,194,63178
0.1,0.025,4,0,190,60967
0.1,0.025,4,1,188,57375
0.1,0.025,4,2,191,54271
0.1,0.025,4,3,194,57227
0.1,0.025,4,4,192,54542
0.1,0.025,5,0,194,57111
0.1,0.025,5,1,194,66701
0.1,0.025,5,2,192,64701
0.1,0.025,5,3,190,59920
0.1,0.025,5,4,191,53168
0.1,0.03,1,0,185,51460
0.1,0.03,1,1,191,42617
0.1,0.03,1,2,187,46813
0.1,0.03,1,3,193,46930
0.1,0.03,1,4,192,45239
0.1,0.03,2,0,189,58144
0.1,0.03,2,1,194,46965
0.1,0.03,2,2,182,42270
0.1,0.03,2,3,185,48710
0.1,0.03,2,4,191,45507
0.1,0.03,3,0,194,62187
0.1,0.03,3,1,185,43559
0.1,0.03,3,2,191,53248
0.1,0.03,3,3,190,49744
0.1,0.03,3,4,188,50680
0.1,0.03,4,0,187,46138
0.1,0.03,4,1,193,47176
0.1,0.03,4,2,192,50850
0.1,0.03,4,3,195,46895
0.1,0.03,4,4,188,56742
0.1,0.03,5,0,193,51280
0.1,0.03,5,1,190,50082
0.1,0.03,5,2,192,47059
0.1,0.03,5,3,194,48509
0.1,0.03,5,4,195,48803
0.1,0.035,1,0,194,47519
0.1,0.035,1,1,192,43640
0.1,0.035,1,2,192,46971
0.1,0.035,1,3,197,44414
0.1,0.035,1,4,192,40721
0.1,0.035,2,0,187,44093
0.1,0.035,2,1,193,45270
0.1,0.035,2,2,188,40092
0.1,0.035,2,3,192,36232
0.1,0.035,2,4,192,45581
0.1,0.035,3,0,189,47399
0.1,0.035,3,1,191,41036
0.1,0.035,3,2,189,43522
0.1,0.035,3,3,182,34597
0.1,0.035,3,4,180,40823
0.1,0.035,4,0,187,41126
0.1,0.035,4,1,189,39966
0.1,0.035,4,2,194,43822
0.1,0.035,4,3,182,34234
0.1,0.035,4,4,192,40147
0.1,0.035,5,0,191,43222
0.1,0.035,5,1,192,46854
0.1,0.035,5,2,190,36457
0.1,0.035,5,3,187,38267
0.1,0.035,5,4,186,40155
0.1,0.04,1,0,192,44472
0.1,0.04,1,1,189,34641
0.1,0.04,1,2,190,33942
0.1,0.04,1,3,191,39735
0.1,0.04,1,4,194,34776
0.1,0.04,2,0,190,41037
0.1,0.04,2,1,190,37644
0.1,0.04,2,2,188,34206
0.1,0.04,2,3,187,36535
0.1,0.04,2,4,183,34577
0.1,0.04,3,0,179,37252
0.1,0.04,3,1,180,38399
0.1,0.04,3,2,183,35568
0.1,0.04,3,3,187,33901
0.1,0.04,3,4,184,35790
0.1,0.04,4,0,190,34844
0.1,0.04,4,1,191,37829
0.1,0.04,4,2,187,29673
0.1,0.04,4,3,196,37910
0.1,0.04,4,4,185,37472
0.1,0.04,5,0,183,33574
0.1,0.04,5,1,189,37215
0.1,0.04,5,2,190,31869
0.1,0.04,5,3,189,32718
0.1,0.04,5,4,190,37679
0.1,0.045,1,0,186,37853
0.1,0.045,1,1,190,32509
0.1,0.045,1,2,190,34070
0.1,0.045,1,3,183,35117
0.1,0.045,1,4,192,34555
0.1,0.045,2,0,188,38368
0.1,0.045,2,1,179,33101
0.1,0.045,2,2,184,31174
0.1,0.045,2,3,193,30436
0.1,0.045,2,4,183,34384
0.1,0.045,3,0,190,31657
0.1,0.045,3,1,192,37423
0.1,0.045,3,2,186,31069
0.1,0.045,3,3,188,27075
0.1,0.045,3,4,188,30988
0.1,0.045,4,0,184,33449
0.1,0.045,4,1,181,29107
0.1,0.045,4,2,192,37155
0.1,0.045,4,3,186,35977
0.1,0.045,4,4,186,30179
0.1,0.045,5,0,183,32345
0.1,0.045,5,1,189,30407
0.1,0.045,5,2,189,33435
0.1,0.045,5,3,188,30973
0.1,0.045,5,4,190,30881
0.1,0.05,1,0,180,30377
0.1,0.05,1,1,188,33125
0.1,0.05,1,2,178,30965
0.1,0.05,1,3,198,37094
0.1,0.05,1,4,181,25138
0.1,0.05,2,0,180,24466
0.1,0.05,2,1,187,26783
0.1,0.05,2,2,185,30515
0.1,0.05,2,3,180,29647
0.1,0.05,2,4,190,36139
0.1,0.05,3,0,182,30843
0.1,0.05,3,1,189,29254
0.1,0.05,3,2,177,30267
0.1,0.05,3,3,181,25643
0.1,0.05,3,4,184,26246
0.1,0.05,4,0,180,24311
0.1,0.05,4,1,179,27308
0.1,0.05,4,2,182,26870
0.1,0.05,4,3,185,26557
0.1,0.05,4,4,195,30578
0.1,0.05,5,0,186,28523
0.1,0.05,5,1,190,27897
0.1,0.05,5,2,195,30721
0.1,0.05,5,3,186,24652
0.1,0.05,5,4,184,29179
0.1,0.055,1,0,187,31374
0.1,0.055,1,1,186,28858
0.1,0.055,1,2,172,24541
0.1,0.055,1,3,176,23423
0.1,0.055,1,4,193,27122
0.1,0.055,2,0,183,24696
0.1,0.055,2,1,182,24798
0.1,0.055,2,2,184,27488
0.1,0.055,2,3,174,28160
0.1,0.055,2,4,182,26881
0.1,0.055,3,0,183,30518
0.1,0.055,3,1,182,27130
0.1,0.055,3,2,189,26951
0.1,0.055,3,3,188,23703
0.1,0.055,3,4,170,22450
0.1,0.055,4,0,182,24262
0.1,0.055,4,1,182,23396
0.1,0.055,4,2,188,25737
0.1,0.055,4,3,175,23079
0.1,0.055,4,4,186,24500
0.1,0.055,5,0,178,27009
0.1,0.055,5,1,181,27355
0.1,0.055,5,2,187,22847
0.1,0.055,5,3,190,26379
0.1,0.055,5,4,188,27031
0.1,0.06,1,0,181,28110
0.1,0.06,1,1,176,28279
0.1,0.06,1,2,179,25801
0.1,0.06,1,3,179,24520
0.1,0.06,1,4,176,25124
0.1,0.06,2,0,183,26319
0.1,0.06,2,1,182,22597
0.1,0.06,2,2,173,25001
0.1,0.06,2,3,193,29666
0.1,0.06,2,4,174,20085
0.1,0.06,3,0,181,24252
0.1,0.06,3,1,180,23894
0.1,0.06,3,2,186,24376
0.1,0.06,3,3,183,23886
0.1,0.06,3,4,191,23543
0.1,0.06,4,0,186,27723
0.1,0.06,4,1,180,23416
0.1,0.06,4,2,179,25669
0.1,0.06,4,3,178,21231
0.1,0.06,4,4,174,20485
0.1,0.06,5,0,187,24426
0.1,0.06,5,1,190,22925
0.1,0.06,5,2,180,20069
0.1,0.06,5,3,183,22183
0.1,0.06,5,4,177,22195
0.15,0.01,1,0,195,108283
0.15,0.01,1,1,198,115927
0.15,0.01,1,2,197,99510
0.15,0.01,1,3,196,107294
0.15,0.01,1,4,197,111785
0.15,0.01,2,0,196,107391
0.15,0.01,2,1,197,107233
0.15,0.01,2,2,197,96720
0.15,0.01,2,3,195,86470
0.15,0.01,2,4,192,113776
0.15,0.01,3,0,196,104390
0.15,0.01,3,1,196,101817
0.15,0.01,3,2,198,112297
0.15,0.01,3,3,197,99416
0.15,0.01,3,4,194,93077
0.15,0.01,4,0,199,123284
0.15,0.01,4,1,195,105236
0.15,0.01,4,2,196,89780
0.15,0.01,4,3,196,107308
0.15,0.01,4,4,198,107267
0.15,0.01,5,0,200,107255
0.15,0.01,5,1,196,101734
0.15,0.01,5,2,200,103219
0.15,0.01,5,3,199,95717
0.15,0.01,5,4,187,92651
0.15,0.015,1,0,192,68801
0.15,0.015,1,1,195,82509
0.15,0.015,1,2,198,81383
0.15,0.015,1,3,192,64146
0.15,0.015,1,4,197,71160
0.15,0.015,2,0,193,70877
0.15,0.015,2,1,187,77740
0.15,0.015,2,2,195,72030
